Numero de qubits: 20 
Layer   D  var(D)  Renyi  var(Renyi)
1  2.0  0.0  1.4031008086709411e-14  3.1315030207111036e-15
2  4.0  0.0  1.8139911558680708  0.0019887612857805146
3  8.0  0.0  1.8139911558680748  0.0019887612857804886
4  16.0  0.0  3.6502718979361815  0.0042102561689915064
5  32.0  0.0  3.650271897936186  0.004210256168991999
6  64.0  0.0  5.503331559986197  0.005654057647120274
7  128.0  0.0  5.503331559986203  0.005654057647120215
8  256.0  0.0  7.3710752290178805  0.007333005337740896
9  512.0  0.0  7.371075229017885  0.0073330053377408605
10  1024.0  0.0  9.247020486512342  0.006398263495793476
11  1024.0  0.0  9.247020486512346  0.006398263495791947
Numero de qubits: 21 
Layer   D  var(D)  Renyi  var(Renyi)
1  2.0  0.0  1.3742699701366061e-14  2.925309027190191e-15
2  4.0  0.0  1.814779405299306  0.002693077080191285
3  8.0  0.0  1.8147794052993096  0.002693077080193721
4  16.0  0.0  3.650387002532976  0.004777760483231114
5  32.0  0.0  3.6503870025329817  0.004777760483231788
6  64.0  0.0  5.5031682187966995  0.0054708170870281
7  128.0  0.0  5.503168218796703  0.0054708170870285
8  256.0  0.0  7.369151391230284  0.005720481072203282
9  512.0  0.0  7.369151391230287  0.005720481072202167
10  1024.0  0.0  9.247240571981562  0.00620592230136889
11  1024.0  0.0  9.247240571981571  0.006205922301369794
Numero de qubits: 22 
Layer   D  var(D)  Renyi  var(Renyi)
1  2.0  0.0  0.9064569982200477  3.453935769339261e-15
2  4.0  0.0  0.9064569982200531  5.438223246357149e-15
3  8.0  0.0  2.729028142621556  0.004451424456569811
4  16.0  0.0  2.729028142621559  0.004451424456569586
5  32.0  0.0  4.574921658086332  0.0060749050372220495
6  64.0  0.0  4.574921658086336  0.006074905037222785
7  128.0  0.0  6.435079848939067  0.006088735110758075
8  256.0  0.0  6.435079848939071  0.006088735110757501
9  512.0  0.0  8.306444726424811  0.00651316451983556
10  1024.0  0.0  8.306444726424818  0.0065131645198354335
11  2048.0  0.0  10.189062395373263  0.006842905328124706
Numero de qubits: 23 
Layer   D  var(D)  Renyi  var(Renyi)
1  2.0  0.0  0.9064569982200474  3.2247153524810008e-15
2  4.0  0.0  0.9064569982200495  7.646326093683087e-15
3  8.0  0.0  2.729313772372472  0.003706549292963408
4  16.0  0.0  2.729313772372477  0.003706549292963388
5  32.0  0.0  4.573974089435222  0.002728303412723087
6  64.0  0.0  4.573974089435228  0.0027283034127231517
7  128.0  0.0  6.433976127168824  0.0048215979227280575
8  256.0  0.0  6.433976127168829  0.0048215979227276265
9  512.0  0.0  8.306691670668467  0.0045023763197328485
10  1024.0  0.0  8.306691670668473  0.004502376319732264
11  2048.0  0.0  10.188759915400952  0.004685724366060186
Numero de qubits: 24 
